beta,total_loss,rec_loss,kl_loss,sigma-0_mean,sigma-0_std,sigma-1_mean,sigma-1_std,sigma-2_mean,sigma-2_std
0,2.4984898045659065,2.4984898045659065,0.0,4.163092853559647e-06,7.594123871967895e-06,1.9996107312181266e-06,4.345314209786011e-06,7.338679552049143e-06,1.870112282631453e-05
1,8.126509509980679,4.018389763310552,4.108119743876159,0.33221012353897095,0.0066709332168102264,0.2509378492832184,0.007288408000022173,0.19930268824100494,0.005420614965260029
2,11.672943010926247,5.536642930470407,6.136300114914775,0.2842216193675995,0.006375209428369999,0.3556233048439026,0.0063676368445158005,0.46964654326438904,0.009312250651419163
3,14.463867723941803,7.036231204867363,7.427636470645666,0.3472054898738861,0.00752091221511364,0.4263000786304474,0.007216335739940405,0.5722146034240723,0.006492245942354202
4,16.54195148125291,8.521008731797338,8.020942684262991,0.4083094298839569,0.009630860760807991,0.6648959517478943,0.00798110757023096,0.4974595308303833,0.010706363245844841
5,18.595837790519,10.068991521373391,8.526846231892705,0.7325428128242493,0.009058442898094654,0.44505414366722107,0.00815653894096613,0.5598889589309692,0.00727669196203351
6,19.963520847260952,11.60430302284658,8.359217824414372,0.826030969619751,0.00935679767280817,0.6138548254966736,0.011764652095735073,0.493242472410202,0.006365295499563217
7,21.493318308144808,13.292711580172181,8.20060676150024,0.6548759937286377,0.004423078149557114,0.5296310782432556,0.007658013608306646,0.9021945595741272,0.01147458516061306
8,22.506221868097782,15.102852676063776,7.403369169682264,0.6989436745643616,0.00646257633343339,0.9999733567237854,0.0018500150181353092,0.5684546232223511,0.006827263161540031
9,23.374528378248215,16.157808527350426,7.2167198453098536,1.0000882148742676,0.001037535723298788,0.6039990186691284,0.0069176210090518,0.7423779368400574,0.007930322550237179
10,23.74832432344556,16.949878334999084,6.798445980064571,0.999634861946106,0.0011294134892523289,0.7849873304367065,0.005363174248486757,0.6396284103393555,0.0027282354421913624
11,24.554470483213663,18.11197504401207,6.442495378665626,0.8180482387542725,0.002826519077643752,0.6748067140579224,0.0029652216471731663,0.9996163845062256,0.0007302400190383196
12,25.53528919443488,19.429157081991434,6.106132109649479,0.9996057748794556,0.001177834696136415,0.8616304397583008,0.00168107938952744,0.6977688670158386,0.0062658884562551975
13,25.508458621799946,20.115416806191206,5.393041820265353,0.8999921679496765,0.0021989261731505394,0.9998886585235596,0.00042949311318807304,0.7341469526290894,0.0015784782590344548
14,26.05630923062563,21.19181526824832,4.8644938776269555,0.9998145699501038,0.0013057396281510592,0.9273713231086731,0.005210541654378176,0.7610618472099304,0.003283021505922079
15,26.503668069839478,22.30837408825755,4.195293990895152,0.9661164283752441,0.0011589082423597574,0.782564640045166,0.0018631914863362908,0.9974091649055481,0.0013893051072955132
16,26.723537549376488,23.390534546226263,3.3330029295757413,0.9996309280395508,0.0009419822599738836,1.0000743865966797,0.0012218996416777372,0.8119082450866699,0.0039049354381859303
17,27.082678392529488,23.878002665936947,3.204675732180476,0.999801754951477,0.0007327478961087763,0.8297449350357056,0.004548775497823954,0.9997783303260803,0.0009784805588424206
18,27.010866694152355,24.29952135309577,2.7113453415222466,0.859366774559021,0.0036899661645293236,0.9999813437461853,0.0008065912406891584,0.9999100565910339,0.0009023770689964294
19,27.02718236669898,24.68368923664093,2.3434931722003967,0.9999215602874756,0.0007027554092928767,0.9995158910751343,0.0010559934889897704,0.8835558295249939,0.0022080005146563053
20,26.979320853948593,25.066132053732872,1.913188794394955,0.9120144248008728,0.0016479621408507228,0.9999290108680725,0.0005001387908123434,0.9998970627784729,0.0004825018113479018
21,27.240422256290913,25.654701936990023,1.5857203311752528,0.9998801946640015,0.0005603847675956786,0.9279263019561768,0.0012831324711441994,1.0000319480895996,0.00041299904114566743
22,27.418490037322044,26.20993673056364,1.208553317701444,0.9997973442077637,0.0024904452729970217,0.999695897102356,0.0019209727179259062,0.9481921792030334,0.005975944921374321
23,27.36171532049775,26.969402354210615,0.3923130353796296,0.9988570809364319,0.001557061797939241,0.9903517961502075,0.008719329722225666,0.9964210987091064,0.004016623832285404
24,27.53206255659461,27.486727837473154,0.04533470724709332,0.9999746680259705,0.001627984456717968,0.9977394938468933,0.0048485747538506985,0.9999333620071411,0.0010596581269055605
25,27.53455448895693,27.528274424374104,0.0062801183958072215,1.000007152557373,0.000802928872872144,0.9996675252914429,0.003984589129686356,0.9996890425682068,0.0027937768027186394
26,27.517202649265528,27.51638474687934,0.0008178810239769518,0.9999709725379944,0.0009105414501391351,0.9999848008155823,0.001525340136140585,1.0000321865081787,0.0013400722527876496
27,27.51923155412078,27.519144237041473,8.730590343475342e-05,1.0000028610229492,0.0007284472230821848,1.0000054836273193,0.0006571036647073925,0.9999971985816956,0.00029691492090933025
28,27.51639887690544,27.516114696860313,0.0002842429094016552,1.000012755393982,0.00035832091816700995,0.9999971985816956,0.0009742924012243748,1.000009536743164,0.0007273377850651741
29,27.52202707529068,27.521883442997932,0.00014367178664542735,0.9999492168426514,0.0013617004733532667,0.9999914765357971,0.00014884174743201584,1.0,0.00047386082587763667
30,27.524277843534946,27.52351227402687,0.0007656222442165017,0.9999490976333618,0.0008320707711391151,1.0000063180923462,0.00023260310990735888,0.9999427199363708,0.0007794864941388369
